fecha,mep,oficial,brecha
2018-01-01,,19.029545454545453,
2018-02-01,,19.841666666666665,
2018-03-01,,20.237000000000002,
2018-04-01,,20.23526315789474,
2018-05-01,,23.669999999999998,
2018-06-01,,26.534,
2018-07-01,,27.625238095238096,
2018-08-01,,30.125,
2018-09-01,,38.5905,
2018-10-01,36.51,37.12045454545454,-0.6104545454545445
2018-11-01,36.514,36.46052631578947,0.05347368421053034
2018-12-01,38.03322580645161,37.885555555555555,0.14767025089605568
2019-01-01,37.51548387096774,37.40772727272727,0.10775659824047068
2019-02-01,38.50678571428572,38.410000000000004,0.09678571428571558
2019-03-01,41.50709677419355,41.363157894736844,0.14393887945670514
2019-04-01,43.43933333333334,43.23263157894737,0.20670175438596772
2019-05-01,44.85645161290322,44.934090909090905,-0.07763929618768373
2019-06-01,43.775,43.79,-0.015000000000000568
2019-07-01,42.498064516129034,42.5452380952381,-0.047173579109063724
2019-08-01,52.69064516129033,52.727619047619044,-0.03697388632871679
2019-09-01,63.212,56.50190476190476,6.710095238095242
2019-10-01,69.00483870967743,58.530454545454546,10.474384164222883
2019-11-01,72.59466666666667,59.73842105263158,12.856245614035089
2019-12-01,72.4574193548387,59.88315789473684,12.574261460101866
2020-01-01,78.98935483870967,60.01136363636363,18.97799120234604
2020-02-01,81.49137931034483,61.34777777777778,20.143601532567047
2020-03-01,85.86354838709677,63.123684210526314,22.739864176570457
2020-04-01,100.62766666666667,65.7645,34.86316666666667
2020-05-01,113.14741935483872,67.73052631578948,45.41689303904924
2020-06-01,106.77199999999999,69.54571428571428,37.22628571428571
2020-07-01,112.09,71.47952380952381,40.61047619047619
2020-08-01,124.42870967741935,73.298,51.13070967741935
2020-09-01,126.32153846153847,75.20363636363636,51.1179020979021
2020-10-01,150.03714285714284,77.57047619047619,72.46666666666665
2020-11-01,144.83350000000002,79.93368421052632,64.89981578947369
2020-12-01,141.37277777777777,82.64055555555555,58.73222222222222
2021-01-01,147.152,85.9725,61.17949999999999
2021-02-01,145.9672222222222,88.67777777777778,57.28944444444443
2021-03-01,144.00863636363636,91.06863636363636,52.94
2021-04-01,146.418,92.86749999999999,53.550500000000014
2021-05-01,156.03157894736842,94.10947368421053,61.92210526315789
2021-06-01,161.3652380952381,95.25714285714287,66.10809523809525
2021-07-01,168.07999999999998,96.24142857142857,71.83857142857141
2021-08-01,170.9652380952381,97.21523809523809,73.75000000000001
2021-09-01,175.61499999999998,98.28590909090909,77.3290909090909
2021-10-01,187.75,99.25105263157894,88.49894736842106
2021-11-01,202.09,100.31095238095239,101.77904761904762
2021-12-01,197.8788888888889,101.89,95.9888888888889
2022-01-01,207.52238095238096,103.9847619047619,103.53761904761906
2022-02-01,204.91263157894738,106.30947368421053,98.60315789473685
2022-03-01,194.67388888888888,109.45952380952382,85.21436507936507
2022-04-01,197.12157894736842,113.33526315789473,83.78631578947369
2022-05-01,208.68449999999999,117.77550000000001,90.90899999999998
2022-06-01,225.956,122.7385,103.21749999999999
2022-07-01,292.03000000000003,128.4452380952381,163.58476190476193
2022-08-01,282.38272727272727,135.29090909090908,147.09181818181818
2022-09-01,286.2113636363636,143.62714285714287,142.58422077922074
2022-10-01,294.4694736842105,152.59421052631578,141.87526315789475
2022-11-01,303.5461904761905,162.12,141.42619047619047
2022-12-01,324.92449999999997,172.9045,152.01999999999995
2023-01-01,341.0963636363636,182.24454545454546,158.85181818181815
2023-02-01,355.5788888888889,191.89222222222222,163.6866666666667
2023-03-01,379.08954545454543,203.10636363636365,175.98318181818178
2023-04-01,413.4288888888889,216.55777777777777,196.8711111111111
2023-05-01,446.26300000000003,231.1915,215.07150000000004
2023-06-01,475.976,248.762,227.214
2023-07-01,491.2857142857143,266.4652380952381,224.8204761904762
2023-08-01,603.4090909090909,322.1359090909091,281.2731818181818
2023-09-01,679.9261904761905,349.9995238095238,329.92666666666673
2023-10-01,837.2515,350.0245,487.227
2023-11-01,884.0440000000001,353.84399999999994,530.2000000000002
2023-12-01,965.0905263157896,641.9978947368421,323.0926315789475
2024-01-01,1161.7554545454545,818.3454545454545,343.4100000000001
2024-02-01,1119.0231578947369,834.9142105263159,284.108947368421
2024-03-01,1019.8463157894738,850.3378947368421,169.50842105263166
2024-04-01,1014.0895,868.9585,145.13100000000009
2024-05-01,1117.4095454545457,886.8636363636364,230.54590909090928
2024-06-01,1284.4064705882354,903.78,380.6264705882354
2024-07-01,1347.3986363636363,923.7654545454545,423.6331818181818
2024-08-01,1295.3645454545456,942.9195454545454,352.44500000000016
2024-09-01,1228.6371428571429,961.8261904761904,266.8109523809525
2024-10-01,1161.0086363636362,981.5677272727273,179.44090909090892
2024-11-01,1106.5075000000002,1001.8373684210526,104.67013157894758
2024-12-01,1105.824,1020.7063157894736,85.11768421052648
2025-01-01,1164.4709090909091,1043.5645454545454,120.90636363636372
2025-02-01,1198.356,1058.466,139.8900000000001
2025-03-01,1264.711111111111,1069.0361111111113,195.67499999999973
2025-04-01,1250.0973684210526,1121.568947368421,128.52842105263153
2025-05-01,1175.592,1147.5285,28.063500000000204
2025-06-01,1189.632105263158,1181.3552631578948,8.276842105263313
2025-07-01,1277.1841379310345,1267.023181818182,10.160956112852546
2025-08-01,1334.568620689655,1329.5369999999998,5.031620689655256
2025-09-01,1441.6503333333335,1399.8986363636363,41.75169696969715
2025-10-01,1500.312258064516,1432.0227272727273,68.28953079178882
2025-11-01,1461.7768181818183,1421.493846153846,40.282972027972164
